 t_index                      term   df
    1091                   beneath   31
    1092                benefactor    2
    1093                  benefici    1
    1094               beneficiari    1
    1095                   benefit   17
    1096                   benevol    7
    1097                    benign    1
    1098                     benin    8
    1099                    benito    1
    1100                  benjamin    2
    1101                   bennett    1
    1102                     benni    1
    1103                      bent   13
    1104                    benton    1
    1105                  bequeath    1
    1106                     berat    1
    1107                      bere    1
    1108                  beresich    1
    1109                   beretta    1
    1110                    bergen    1
    1111                    berger   25
    1112                    berlin    8
    1113                 bernstein    2
    1114                  bershard    1
    1115                bershevski    1
    1116                     berth    2
    1117                 beschloss    1
    1118                     beset    2
    1119                     besid   27
    1120                    besieg    4
    1121                bespectacl    2
    1122                      best   94
    1123                 bestequip    1
